epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18921,3.164,6.0446,4.85582,2.4262,0,0.00222,0.22222,0.00058,0.00014,0.00111,0.11111,0.00014,6e-05,3.04179,4.52483,4.83602,2.64423,0,6e-05,6e-05,6e-05
2,35.0267,3.1595,4.9912,4.15725,2.38847,0,0.00222,0.22222,0.00052,0.00013,0.00111,0.11111,0.00013,5e-05,2.92704,4.46617,8.10611,2.60346,0,0.000137228,0.000137228,0.000137228
3,71.7855,3.04612,4.80702,4.15869,2.37101,0,0.05796,0.11111,0.01732,0.01164,0.05796,0.11111,0.01737,0.00836,2.81611,4.65118,6.77258,2.54645,0,0.000211288,0.000211288,0.000211288
4,83.9342,2.83439,4.14508,3.92587,2.00931,0,0.77699,0.11111,0.1454,0.09611,0.77699,0.11111,0.14141,0.04878,2.76882,5.21479,4.18923,2.58481,0,0.00028218,0.00028218,0.00028218
5,93.8216,2.71959,4.35942,3.02909,2.13417,0,0.01323,0.22222,0.01024,0.00294,0.01235,0.33333,0.00789,0.0018,2.57681,5.50254,4.10651,2.28838,0,0.000349904,0.000349904,0.000349904
6,125.637,2.74059,4.19892,3.02278,2.10823,0,0.006,0.22222,0.00527,0.00156,0.0058,0.11111,0.00688,0.00169,2.74473,5.41437,4.48183,2.13895,0,0.00041446,0.00041446,0.00041446
7,139.986,2.36847,3.95541,2.7817,1.88969,0,0.006,0.22222,0.00527,0.00156,0.0058,0.11111,0.00688,0.00169,2.74473,5.41437,4.48183,2.13895,0,0.000475848,0.000475848,0.000475848
8,165.866,2.75527,3.9882,2.76483,2.02035,0,0.00778,0.77778,0.00754,0.00226,0.00444,0.44444,0.00345,0.00037,2.80166,4.81613,5.26687,2.18889,0,0.000534068,0.000534068,0.000534068
9,200.084,2.59064,4.04117,2.67046,1.98794,0,0.13048,0.22222,0.04363,0.01813,0.2328,0.11111,0.04055,0.00732,2.91846,5.04518,9.5784,2.23713,0,0.00058912,0.00058912,0.00058912
10,216.821,2.78979,4.00861,2.73212,1.97635,0,0.13048,0.22222,0.04363,0.01813,0.2328,0.11111,0.04055,0.00732,2.91846,5.04518,9.5784,2.23713,0,0.000641004,0.000641004,0.000641004
11,223.375,2.72784,4.46043,2.89862,2.12526,0,0.70801,0.11111,0.13719,0.0635,0.03138,0.44444,0.01801,0.00269,2.78773,5.2708,29.8336,2.11271,0,0.00068972,0.00068972,0.00068972
12,232.334,3.01648,4.19729,3.70741,2.14938,0,0.70801,0.11111,0.13719,0.0635,0.03138,0.44444,0.01801,0.00269,2.78773,5.2708,29.8336,2.11271,0,0.000735268,0.000735268,0.000735268
13,246.157,2.76972,3.86114,2.97981,2.00747,0,0.41078,0.11111,0.13069,0.03839,0.14699,0.11111,0.02021,0.00267,2.65505,4.83799,10.5135,1.79572,0,0.000777648,0.000777648,0.000777648
14,269.771,2.75214,4.07246,2.89278,2.14879,0,0.41078,0.11111,0.13069,0.03839,0.14699,0.11111,0.02021,0.00267,2.65505,4.83799,10.5135,1.79572,0,0.00081686,0.00081686,0.00081686
